"","time","P","V","Pv","I","gamma_out","lambda_out"
"123",12.2,0.00759720330868624,2.82620160023733e-05,5.83070538761625e-10,1.02294613723724e-13,2.5e-07,0.025
"124",12.3,0.0072993130297562,2.71633025241342e-05,5.38437523733158e-10,9.44641428045341e-14,2.5e-07,0.025
"125",12.4,0.00701310317116482,2.61069619823154e-05,4.97214317027971e-10,8.72318928158046e-14,2.5e-07,0.025
"126",12.5,0.00673811573894824,2.50913859300306e-05,4.59141175723551e-10,8.0552294145019e-14,2.5e-07,0.025
"127",12.6,0.00647391069720079,2.41150250209606e-05,4.23978058504877e-10,7.43832336535976e-14,2.5e-07,0.025
"128",12.7,0.00622006526394026,2.31763869888004e-05,3.91503141653689e-10,6.86857943197531e-14,2.5e-07,0.025
"129",12.8,0.00597617323458181,2.22740346837308e-05,3.61511444112348e-10,6.34240140182652e-14,2.5e-07,0.025
"130",12.9,0.00574184433193807,2.14065841653396e-05,3.33813555375084e-10,5.85646623401639e-14,2.5e-07,0.025
"131",13,0.00551670358170551,2.0572702851315e-05,3.08234459603185e-10,5.4077034294127e-14,2.5e-07,0.025
"132",13.1,0.00530039071243762,1.97711077211464e-05,2.84612448058538e-10,4.99327595025543e-14,2.5e-07,0.025
"133",13.2,0.0050925595790449,1.90005635739909e-05,2.62798112526197e-10,4.61056256064328e-14,2.5e-07,0.025
"134",13.3,0.0048928776088992,1.82598813397996e-05,2.42653413998155e-10,4.25714148741042e-14,2.5e-07,0.025
"135",13.4,0.00470102526965607,1.75479164427403e-05,2.24050821586732e-10,3.93077531312073e-14,2.5e-07,0.025
"136",13.5,0.00451669555794375,1.68635672159088e-05,2.06872516431794e-10,3.62939700932203e-14,2.5e-07,0.025
"137",13.6,0.00433959350810032,1.62057733662794e-05,1.9100965542902e-10,3.35109701930731e-14,2.5e-07,0.025
"138",13.7,0.00416943572017335,1.55735144888189e-05,1.76361690244935e-10,3.09411131083301e-14,2.5e-07,0.025
"139",13.8,0.0040059499064264,1.49658086286588e-05,1.62835737678308e-10,2.85681032966401e-14,2.5e-07,0.025
"140",13.9,0.00384887445562702,1.43817108902061e-05,1.50345997629358e-10,2.63768878835578e-14,2.5e-07,0.025
